sample_id,timestamp,i2c_stringpot_raw [counts],i2c_stringpot [mm],mark
3242,00:51:29.582,2611.000000,-16.302126,0
3243,00:51:29.584,2667.000000,-16.986988,0
3244,00:51:29.586,2652.000000,-16.803543,0
3245,00:51:29.588,2568.000000,-15.776252,0
3246,00:51:29.590,2401.000000,-13.733900,0
3247,00:51:29.592,2168.000000,-10.884391,0
3248,00:51:29.594,1872.000000,-7.264413,0
3249,00:51:29.596,1503.000000,-2.751672,0
3250,00:51:29.598,1081.000000,2.409241,0
3251,00:51:29.600,612.000000,8.144949,0
3252,00:51:29.602,72.000000,14.748960,0
3253,00:51:29.604,3651.000000,21.071692,0
3254,00:51:29.606,3064.000000,28.250498,0
3255,00:51:29.608,2540.000000,34.658836,0
3256,00:51:29.610,2028.000000,40.920418,0
3257,00:51:29.612,1514.000000,47.206459,0
3258,00:51:29.614,1055.000000,52.819870,0
3259,00:51:29.616,651.000000,57.760647,0
3260,00:51:29.618,289.000000,62.187782,0
3261,00:51:29.620,26.000000,65.404182,0
3262,00:51:29.622,3960.000000,67.385384,0
3263,00:51:29.624,3896.000000,68.168083,0
3264,00:51:29.626,3929.000000,67.764503,0
3265,00:51:29.628,4060.000000,66.162422,0
3266,00:51:29.630,219.000000,63.043858,0
3267,00:51:29.632,548.000000,59.020302,0
3268,00:51:29.634,951.000000,54.091751,0
3269,00:51:29.636,1389.000000,48.735165,0
3270,00:51:29.638,1872.000000,42.828243,0
3271,00:51:29.640,2430.000000,36.004097,0
3272,00:51:29.642,2935.000000,29.828123,0
3273,00:51:29.644,3470.000000,23.285257,0
3274,00:51:29.646,4039.000000,16.326586,0
3275,00:51:29.648,470.000000,9.881559,0
3276,00:51:29.650,981.000000,3.632207,0
3277,00:51:29.652,1402.000000,-1.516477,0
3278,00:51:29.654,1770.000000,-6.016989,0
3279,00:51:29.656,2103.000000,-10.089463,0
3280,00:51:29.658,2355.000000,-13.171335,0
3281,00:51:29.660,2533.000000,-15.348214,0
3282,00:51:29.662,2638.000000,-16.632328,0
3283,00:51:29.664,2669.000000,-17.011446,0
3284,00:51:29.666,2630.000000,-16.534491,0
